City,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Rikitea,PF,70.02,Clouds,-23.12,-134.97,Pension Maro'i
1,Paragominas,BR,70.48,Clouds,-2.97,-47.48,HOTEL RODA VIVA
2,Bambous Virieux,MU,73.99,Clouds,-20.34,57.76,Casa Tia Villa
5,Tautira,PF,77.0,Clouds,-17.73,-149.15,Pension Oaoa
11,Auki,SB,80.55,Clouds,-8.77,160.7,Auki Motel
12,Pangai,TO,78.8,Clouds,-19.8,-174.35,Ha'apai Beach Resort
13,Atuona,PF,79.03,Rain,-9.8,-139.03,Villa Enata
17,Bitung,ID,91.4,Clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
18,Khatanga,RU,72.12,Clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
19,Fort-Shevchenko,KZ,77.72,Clear,44.51,50.26,Oasis hotel Bautino
20,Basco,PH,84.33,Clouds,20.45,121.97,Nathaniel's Lodge
28,Cardenas,CU,73.4,Clouds,23.04,-81.2,Casa JF 1906
31,Kapaa,US,80.6,Clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
34,Kamaishi,JP,89.6,Clouds,39.27,141.88,Hotel Route Inn Kamaishi
38,Virginia Beach,US,82.4,Clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
39,Manjeri,IN,86.0,Clouds,11.12,76.12,ITTC
47,Angoram,PG,89.24,Clouds,-4.06,144.07,
49,Marzuq,YE,88.72,Clouds,14.4,46.47,
50,Elizabeth City,US,80.6,Clear,36.29,-76.25,Hampton Inn Elizabeth City
51,Saint George,US,90.0,Clear,37.1,-113.58,Best Western Plus Abbey Inn
59,Butaritari,KI,82.45,Clouds,3.07,172.79,Isles Sunset Lodge
60,Saint Anthony,US,82.99,Clear,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
61,Wilmington Island,US,84.0,Clouds,32.0,-80.97,Breezeway Studio Manor LLC
62,Ninohe,JP,77.0,Clouds,40.27,141.31,Murata Inn
65,San Remo,IT,73.99,Clouds,43.82,7.76,Royal Hotel Sanremo
66,Victoria,HK,91.4,Clouds,22.29,114.16,Mini Hotel Central
69,Namatanai,PG,83.73,Clouds,-3.67,152.43,Namatanai Hotel
71,Hithadhoo,MV,80.4,Rain,-0.6,73.08,Scoop Guest House
73,Pirogovo,RU,70.0,Clouds,56.78,53.15,Гостиница Нарцисс
75,Cayenne,GF,75.2,Clouds,4.93,-52.33,Hôtel Le Dronmi
77,Carnarvon,AU,71.6,Clouds,-24.87,113.63,Hospitality Carnarvon
79,Port-Gentil,GA,75.2,Clouds,-0.72,8.78,Fengshui Residence
80,Hohhot,CN,73.4,Clouds,40.81,111.65,Sheraton Hohhot Hotel
83,San Quintin,MX,73.17,Clear,30.48,-115.95,Old Mill Hotel
84,Hilo,US,80.6,Clouds,19.73,-155.09,Hilo Hawaiian Hotel
85,Awbari,LY,75.63,Clear,26.59,12.78,فندق أوباري
91,Manthani,IN,83.19,Rain,18.65,79.67,Social Welfare Boys Hostel
93,Sao Filipe,CV,78.35,Clear,14.9,-24.5,Tortuga B&B
94,Palu,ID,85.06,Rain,-0.89,119.87,Hotel Santika Palu
97,Tura,IN,87.96,Clouds,25.52,90.22,Hotel RIKMAN Continental
98,Bathsheba,BB,82.4,Rain,13.22,-59.52,Atlantis Hotel
99,Singaraja,ID,86.31,Clear,-8.11,115.09,Puri Bagus Lovina Resort
103,Puerto Rondon,CO,73.4,Rain,6.28,-71.1,HOTEL CAMINO REAL
105,Bada,RU,71.69,Clouds,51.39,109.87,Kafe Gostinnitsa
106,Buraydah,SA,91.4,Clear,26.33,43.98,Mövenpick Hotel Qassim
107,Kibala,TD,73.4,Clouds,9.11,18.35,
108,Requena,ES,71.01,Clear,39.49,-1.1,Hotel Avenida
111,Presidente Medici,BR,74.17,Clear,-11.18,-61.9,Oliveira Palace Hotel
114,Zhezkazgan,KZ,71.6,Clear,47.8,67.71,Kvartiry Posutochno.
115,Joao Pessoa,BR,71.6,Clouds,-7.12,-34.86,Condomínio Imperial Flat
117,Ribeira Grande,PT,74.46,Rain,38.52,-28.7,Quinta da Meia Eira
118,Preobrazheniye,RU,78.26,Clouds,42.9,133.91,Campsite Orlan
120,Chalisgaon,IN,86.56,Clouds,20.47,75.02,Pedkai Co-operative Housing Society
123,Vaini,TO,77.0,Clouds,-21.2,-175.2,Keleti Beach Resort
124,Praia,CV,80.6,Clouds,14.92,-23.51,LT Aparthotel
125,Sur,OM,90.3,Rain,22.57,59.53,Sur Plaza Hotel
127,Sorong,ID,84.58,Clouds,-0.88,131.25,The Waigo Hotel
128,Brandon,US,82.0,Clear,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon
133,Alice Springs,AU,87.8,Clear,-23.7,133.88,Desert Palms Alice Springs
134,Nemuro,JP,84.2,Clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
135,Ugoofaaru,MV,83.43,Clouds,5.67,73.0,Ungoofaaru Inn
136,Porto Novo,BJ,75.2,Clouds,6.5,2.6,Tour Eiffel Hotel Benin
142,Kachug,RU,73.56,Clouds,53.96,105.88,"The hotel ""Empire"""
145,Busayra,JO,73.36,Clear,30.74,35.61,Matan Eco Villege
146,Salina,US,73.0,Clear,38.84,-97.61,Holiday Inn Express & Suites Salina
150,Jiazi,CN,87.6,Clouds,22.88,116.07,Hotel Jin Hao
152,Coahuayana,MX,77.25,Rain,18.73,-103.68,Hotel Los Arcos
155,Bonthe,SL,76.08,Rain,7.53,-12.51,Bonthe Holiday Village
157,Saint-Pierre,RE,77.0,Clouds,-21.34,55.48,Lindsey Hôtel
158,Pak Phanang,TH,93.2,Clouds,8.35,100.2,Green Park Inn Hotel
159,Miyako,JP,82.89,Clear,39.64,141.95,Hotel Route Inn Miyako
164,Hakui,JP,95.0,Clouds,36.88,136.78,KYUKAMURA NOTO-CHIRIHAMA
166,Georgetown,MY,89.6,Clouds,5.41,100.34,Cititel Penang
167,Mersing,MY,89.6,Clouds,2.43,103.84,Timotel Hotel
170,Calamar,CO,74.48,Clouds,10.25,-74.91,Canal del dique y rio magdalena
173,Nabire,ID,84.52,Rain,-3.37,135.48,Hotel Nusantara Nabire
174,Cabo San Lucas,MX,84.0,Clear,22.89,-109.91,Hotel Tesoro Los Cabos
175,Mareeba,AU,78.8,Clouds,-17.0,145.43,Trinity Plains Tourist Park
177,Fuxin,CN,85.3,Clouds,42.02,121.66,Xinya International Hotel
178,Mitsamiouli,KM,80.6,Clouds,-11.38,43.28,Foyer ADM
180,Igmaya-An,PH,81.64,Clouds,10.55,123.22,Maranatha Camp Site
