City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Rikitea,PF,-23.12,-134.97,70.02,71,40,8.12,Clouds
1,Paragominas,BR,-2.97,-47.48,70.48,98,51,2.64,Clouds
2,Bambous Virieux,MU,-20.34,57.76,73.99,78,75,8.05,Clouds
3,Deniliquin,AU,-35.53,144.97,60.01,50,0,1.01,Clear
4,Chokurdakh,RU,70.63,147.92,44.64,75,100,7.25,Clouds
5,Tautira,PF,-17.73,-149.15,77.0,73,20,3.36,Clouds
6,Mataura,NZ,-46.19,168.86,45.0,72,99,11.01,Rain
7,Thompson,CA,55.74,-97.86,50.0,100,90,8.05,Drizzle
8,Coquimbo,CL,-29.95,-71.34,50.0,87,20,2.24,Clouds
9,Nanortalik,GL,60.14,-45.24,43.83,85,2,5.61,Clear
10,Bethel,US,41.37,-73.41,69.8,56,1,6.93,Clear
11,Auki,SB,-8.77,160.7,80.55,79,100,6.04,Clouds
12,Pangai,TO,-19.8,-174.35,78.8,74,20,13.87,Clouds
13,Atuona,PF,-9.8,-139.03,79.03,74,60,12.12,Rain
14,Cidreira,BR,-30.18,-50.21,61.02,85,72,21.21,Clouds
15,Tasiilaq,GL,65.61,-37.64,37.4,74,0,2.24,Clear
16,Mar Del Plata,AR,-38.0,-57.56,52.0,100,90,6.93,Fog
17,Bitung,ID,1.45,125.18,91.4,55,20,11.41,Clouds
18,Khatanga,RU,71.97,102.5,72.12,39,24,7.56,Clouds
19,Fort-Shevchenko,KZ,44.51,50.26,77.72,40,0,16.62,Clear
20,Basco,PH,20.45,121.97,84.33,80,100,25.1,Clouds
21,Vagay,RU,57.94,69.02,57.69,95,100,5.32,Clouds
22,Rocha,UY,-34.48,-54.33,58.35,91,77,7.23,Rain
23,Tuktoyaktuk,CA,69.45,-133.04,42.8,100,90,9.17,Fog
24,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,93,90,8.05,Mist
25,Kodiak,US,57.79,-152.41,59.0,58,20,6.93,Clouds
26,Constitucion,CL,-35.33,-72.42,50.25,85,61,18.1,Rain
27,Nome,US,64.5,-165.41,55.4,71,20,3.36,Rain
28,Cardenas,CU,23.04,-81.2,73.4,100,20,3.36,Clouds
29,Puerto Ayora,EC,-0.74,-90.35,66.0,90,51,8.01,Clouds
30,Jamestown,US,42.1,-79.24,62.6,72,1,8.05,Clear
31,Kapaa,US,22.08,-159.32,80.6,74,20,11.41,Clouds
32,Pisco,PE,-13.7,-76.22,61.0,93,77,5.82,Smoke
33,Port Elizabeth,ZA,-33.92,25.57,59.0,62,75,13.87,Clouds
34,Kamaishi,JP,39.27,141.88,89.6,43,20,4.7,Clouds
35,Ushuaia,AR,-54.8,-68.3,39.2,60,40,14.99,Clouds
36,Aykhal,RU,66.0,111.5,66.2,29,6,4.47,Clear
37,Codrington,AU,-38.27,141.97,55.63,66,57,3.4,Clouds
38,Virginia Beach,US,36.85,-75.98,82.4,69,40,5.82,Clouds
39,Manjeri,IN,11.12,76.12,86.0,70,40,10.29,Clouds
40,Issoudun,FR,47.0,1.83,62.6,88,20,9.17,Clouds
41,Skjervoy,NO,70.03,20.97,48.2,81,75,6.93,Rain
42,Qaanaaq,GL,77.48,-69.36,37.83,89,100,7.54,Rain
43,Cape Town,ZA,-33.93,18.42,57.0,66,20,18.34,Clouds
44,Barrow,US,71.29,-156.79,39.2,93,90,11.41,Mist
45,Hermanus,ZA,-34.42,19.23,50.0,89,71,1.99,Clouds
46,Kaeo,NZ,-35.1,173.78,52.0,3,10,4.0,Clear
47,Angoram,PG,-4.06,144.07,89.24,59,76,6.98,Clouds
48,Arraial Do Cabo,BR,-22.97,-42.03,67.8,77,52,16.78,Clouds
49,Marzuq,YE,14.4,46.47,88.72,34,75,1.95,Clouds
50,Elizabeth City,US,36.29,-76.25,80.6,94,1,9.17,Clear
51,Saint George,US,37.1,-113.58,90.0,31,1,12.75,Clear
52,Severo-Kurilsk,RU,50.68,156.12,53.08,93,99,14.14,Rain
53,New Norfolk,AU,-42.78,147.06,55.99,73,100,5.01,Clouds
54,Hobart,AU,-42.88,147.33,57.2,44,75,13.87,Clouds
55,Nikolskoye,RU,59.7,30.79,59.0,82,40,4.47,Clouds
